['Mercedes-Benz', 'A-Class', 'A45', 479900, 2014, 60200]
['Mercedes-Benz', 'A-Class', 'A45', 739900, 2017, 7500]
['Mercedes-Benz', 'A-Class', 'A45', 689990, 2016, 23000]
['Mercedes-Benz', 'A-Class', 'A45', 679900, 2016, 8000]
['Mercedes-Benz', 'A-Class', 'A45', 669999, 2016, 19700]
['Mercedes-Benz', 'A-Class', 'A45', 649990, 2016, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 646370, 2018, 50]
['Mercedes-Benz', 'A-Class', 'A45', 629900, 2014, 30950]
['Mercedes-Benz', 'A-Class', 'A180', 613444, 2018, 50]
['Mercedes-Benz', 'A-Class', 'A45', 609995, 2015, 33000]
['Mercedes-Benz', 'A-Class', 'A200', 599995, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 599900, 2015, 10700]
['Mercedes-Benz', 'A-Class', 'A220d', 575710, 2018, 25]
['Mercedes-Benz', 'A-Class', 'A45', 569995, 2018, 23]
['Mercedes-Benz', 'A-Class', 'A45', 569990, 2014, 21000]
['Mercedes-Benz', 'A-Class', 'A45', 569990, -1, -1]
['Mercedes-Benz', 'A-Class', 'A250', 569950, 2014, 43000]
['Mercedes-Benz', 'A-Class', 'A200', 569900, 2014, 53000]
['Mercedes-Benz', 'A-Class', 'A45', 569900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 569000, 2017, 1570]
['Mercedes-Benz', 'A-Class', 'A200', 564900, 2017, 9000]
['Mercedes-Benz', 'A-Class', 'A250', 559950, 2014, 34765]
['Mercedes-Benz', 'A-Class', 'A220d', 559000, 2017, 5700]
['Mercedes-Benz', 'A-Class', 'A200', 556242, 2017, 0]
['Mercedes-Benz', 'A-Class', 'A200', 552190, -1, -1]
['Mercedes-Benz', 'A-Class', 'A250', 549990, 2017, 1000]
['Mercedes-Benz', 'A-Class', 'A250', 549950, 2018, 500]
['Mercedes-Benz', 'A-Class', 'A250', 549950, 2018, 0]
['Mercedes-Benz', 'A-Class', 'A45', 549950, 2018, 0]
['Mercedes-Benz', 'A-Class', 'A250', 549950, 2017, 7500]
['Mercedes-Benz', 'A-Class', 'A220d', 549950, 2017, 5850]
['Mercedes-Benz', 'A-Class', 'A250', 549950, 2017, 6603]
['Mercedes-Benz', 'A-Class', 'A45', 549900, 2014, 47364]
['Mercedes-Benz', 'A-Class', 'A45', 549900, 2017, 4864]
['Mercedes-Benz', 'A-Class', 'A200d', 549000, 2017, 17000]
['Mercedes-Benz', 'A-Class', 'A45', 549000, 2017, 5000]
['Mercedes-Benz', 'A-Class', 'A45', 544950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200', 539995, 2015, 37000]
['Mercedes-Benz', 'A-Class', 'A220d', 539950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A220d', 539900, 2018, 1500]
['Mercedes-Benz', 'A-Class', 'A250', 539900, 2015, 48000]
['Mercedes-Benz', 'A-Class', 'A200d', 539900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A250', 539000, 2015, 8866]
['Mercedes-Benz', 'A-Class', 'A200d', 535000, 2017, 8000]
['Mercedes-Benz', 'A-Class', 'A200d', 534950, 2017, 1480]
['Mercedes-Benz', 'A-Class', 'A220d', 529990, 2018, 8500]
['Mercedes-Benz', 'A-Class', 'A200d', 529900, 2017, 21700]
['Mercedes-Benz', 'A-Class', 'A250', 529000, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 529000, 2018, 50]
['Mercedes-Benz', 'A-Class', 'A200', 527983, 2016, 6500]
['Mercedes-Benz', 'A-Class', 'A45', 519990, -1, -1]
['Mercedes-Benz', 'A-Class', 'A45', 519950, 2018, 100]
['Mercedes-Benz', 'A-Class', 'A45', 519950, 2017, 1500]
['Mercedes-Benz', 'A-Class', 'A250', 519900, 2016, 19000]
['Mercedes-Benz', 'A-Class', 'A45', 519900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A45', 519900, 2018, 20]
['Mercedes-Benz', 'A-Class', 'A45', 519900, 2017, 6500]
['Mercedes-Benz', 'A-Class', 'A200d', 519900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A45', 519890, 2017, 11371]
['Mercedes-Benz', 'A-Class', 'A200d', 519000, 2017, 1500]
['Mercedes-Benz', 'A-Class', 'A45', 517995, 2014, 37000]
['Mercedes-Benz', 'A-Class', 'A45', 499900, 2014, 42000]
['Mercedes-Benz', 'A-Class', 'A220CDI', 399950, 2015, 15124]
['Mercedes-Benz', 'A-Class', 'A200', 399900, 2018, 182]
['Mercedes-Benz', 'A-Class', 'A200', 399900, 2017, 13000]
['Mercedes-Benz', 'A-Class', 'A200d', 399900, 2016, 12500]
['Mercedes-Benz', 'A-Class', 'A200', 399900, 2015, 34000]
['Mercedes-Benz', 'A-Class', 'A200', 399900, 2017, 7650]
['Mercedes-Benz', 'A-Class', 'A200', 399900, 2017, 20500]
['Mercedes-Benz', 'A-Class', 'A250', 399900, 2015, 31000]
['Mercedes-Benz', 'A-Class', 'A200d', 399900, 2016, 14400]
['Mercedes-Benz', 'A-Class', 'A200', 399900, 2015, 20500]
['Mercedes-Benz', 'A-Class', 'A200CDI', 399900, 2016, 14000]
['Mercedes-Benz', 'A-Class', 'A200d', 399900, 2017, 25000]
['Mercedes-Benz', 'A-Class', 'A200', 399000, 2017, 9500]
['Mercedes-Benz', 'A-Class', 'A200', 399000, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 399000, 2016, 36000]
['Mercedes-Benz', 'A-Class', 'A200D', 399000, 2017, 17000]
['Mercedes-Benz', 'A-Class', 'A200', 389950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200', 389950, 2016, 16000]
['Mercedes-Benz', 'A-Class', 'A200', 389950, 2016, 21415]
['Mercedes-Benz', 'A-Class', 'A250', 389900, 2016, 21315]
['Mercedes-Benz', 'A-Class', 'A200d', 389900, 2014, 59900]
['Mercedes-Benz', 'A-Class', 'A200', 389900, 2016, 44000]
['Mercedes-Benz', 'A-Class', 'A200', 389900, 2016, 17500]
['Mercedes-Benz', 'A-Class', 'A250', 389900, 2016, 16300]
['Mercedes-Benz', 'A-Class', 'A220d', 389900, 2014, 59900]
['Mercedes-Benz', 'A-Class', 'A250', 389900, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200', 389900, 2014, 59900]
['Mercedes-Benz', 'A-Class', 'A250', 379995, 2016, 14980]
['Mercedes-Benz', 'A-Class', 'A220CDI', 379995, 2015, 72000]
['Mercedes-Benz', 'A-Class', 'A250', 379995, 2014, 67000]
['Mercedes-Benz', 'A-Class', 'A200', 379950, -1, -1]
['Mercedes-Benz', 'A-Class', 'A200d', 379950, 2015, 67000]
['Mercedes-Benz', 'A-Class', 'A250', 379900, 2016, 82848]
['Mercedes-Benz', 'A-Class', 'A200d', 379900, 2016, 29000]
['Mercedes-Benz', 'A-Class', 'A220d', 379900, 2014, 51865]
['Mercedes-Benz', 'A-Class', 'A200', 379900, 2016, 19738]
['Mercedes-Benz', 'A-Class', 'A200', 374900, 2016, 41632]
['Mercedes-Benz', 'A-Class', 'A200', 369995, 2016, 15532]
['Mercedes-Benz', 'A-Class', 'A200', 369990, 2015, 47000]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369950, 2016, 31700]
['Mercedes-Benz', 'A-Class', 'A220d', 369900, 2015, 56000]
['Mercedes-Benz', 'A-Class', 'A180CDI', 369900, 2015, 57500]
['Mercedes-Benz', 'A-Class', 'A200CDI', 369900, 2015, 39000]
['Mercedes-Benz', 'A-Class', 'A250', 369900, -1, -1]
